Cancer_Type	Primary_Patients	CLOCK16_Mutated_Patients	Prevalence_Percent	Odds_Ratio	P_value	FDR	Direction
uterine corpus endometrioid carcinoma	547	154	28.1535648994516	3.5012881868363	2.73281417399762e-30	8.74500535679239e-29	Enriched
ovarian serous cystadenocarcinoma	592	5	0.844594594594595	0.0649262924469911	6.4608698284974e-24	1.03373917255958e-22	Depleted
bladder urothelial carcinoma	412	116	28.1553398058252	3.41099203882309	7.45050205244664e-23	7.94720218927642e-22	Enriched
thyroid carcinoma	507	6	1.18343195266272	0.0922526733739045	9.41500624459088e-19	7.5320049956727e-18	Depleted
brain lower grade glioma	516	13	2.51937984496124	0.200248019887166	3.20863622397134e-13	2.05352718334166e-12	Depleted
stomach adenocarcinoma	478	105	21.9665271966527	2.40436278208597	1.31929294864526e-12	7.03622905944141e-12	Enriched
breast invasive carcinoma	1101	58	5.26793823796549	0.421230344331728	4.35954900717668e-12	1.99293668899505e-11	Depleted
lung squamous cell carcinoma	506	107	21.1462450592885	2.28846746004186	9.94242210440946e-12	3.97696884176379e-11	Enriched
glioblastoma multiforme	594	22	3.7037037037037	0.29802280059855	5.43491461812835e-11	1.93241408644563e-10	Depleted
skin cutaneous melanoma	104	33	31.7307692307692	3.84079263291452	8.8369811470161e-09	2.82783396704515e-08	Enriched
prostate adenocarcinoma	498	23	4.61847389558233	0.379632776679515	3.37500667997426e-07	9.81820125083421e-07	Depleted
kidney clear cell carcinoma	536	26	4.85074626865672	0.399183677882532	3.96470276210179e-07	1.05725406989381e-06	Depleted
cervical & endocervical cancer	308	62	20.1298701298701	2.09787653814518	1.81342333835621e-06	4.46381129441528e-06	Enriched
lung adenocarcinoma	520	90	17.3076923076923	1.75179437181935	1.00630416466626e-05	2.30012380495144e-05	Enriched
pheochromocytoma & paraganglioma	179	5	2.79329608938547	0.229259376104918	8.81968255470462e-05	0.000188153227833699	Depleted
colon adenocarcinoma	461	76	16.4859002169197	1.63912412339208	0.000246196670636888	0.000492393341273776	Enriched
pancreatic adenocarcinoma	185	7	3.78378378378378	0.31415335278286	0.0005386115987067	0.00101385712697732	Depleted
testicular germ cell tumor	150	6	4	0.333787383352454	0.00349511367144106	0.00621353541589522	Depleted
thymoma	124	5	4.03225806451613	0.337207599008477	0.00882765583912213	0.0148676308869425	Depleted
uveal melanoma	80	2	2.5	0.206159375225344	0.0106640590186677	0.0170624944298684	Depleted
esophageal carcinoma	185	31	16.7567567567568	1.6461464084394	0.0170016072021275	0.0250377884135693	Enriched
rectum adenocarcinoma	167	9	5.38922155688623	0.456804872921051	0.0172134795343289	0.0250377884135693	Depleted
mesothelioma	87	3	3.44827586206897	0.287210553336524	0.0232669171274408	0.0323713629599177	Depleted
head & neck squamous cell carcinoma	528	72	13.6363636363636	1.296058318532	0.0536474992223123	0.0715299989630831	Enriched
sarcoma	261	19	7.27969348659004	0.629356063118194	0.056284927132115	0.0720447067291072	Depleted
liver hepatocellular carcinoma	377	53	14.0583554376658	1.33919582022363	0.0645094183119099	0.0793962071531199	Enriched
kidney chromophobe	66	3	4.54545454545455	0.383803818533155	0.112331379739916	0.133133487099159	Depleted
cholangiocarcinoma	36	1	2.77777777777778	0.230577943449158	0.175589889988937	0.200674159987357	Depleted
kidney papillary cell carcinoma	291	38	13.0584192439863	1.22274556343613	0.254037977183644	0.280317767926779	Enriched
adrenocortical cancer	92	7	7.60869565217391	0.664463932816186	0.400854867012318	0.427578524813139	Depleted
diffuse large B-cell lymphoma	48	3	6.25	0.538349866940864	0.483476472867932	0.499072488121736	Depleted
uterine carcinosarcoma	57	5	8.7719298245614	0.77721927823684	0.830897299040491	0.830897299040491	Depleted
